entity_id,classkind,code,blockid,chapterno
1616956984,category,1A36.00,,1
349019849,category,1A36.01,,1
,category,1A36.0Z,,1
1777228366,category,1A36.1,,1
1730350429,category,1A36.10,,1
40419529,category,1A36.11,,1
328097188,category,1A36.12,,1
,category,1A36.1Y,,1
,category,1A36.Z,,1
,category,1A3Y,,1
,category,1A3Z,,1
1688127370,category,1A40,,1
1160271562,category,1A40.0,,1
,category,1A40.Z,,1
1904876434,block,,BlockL1-1A6,1
455894495,block,,BlockL2-1A6,1
1395410103,category,2C95.2,,2
,category,2C95.Y,,2
,category,2C95.Z,,2
,category,2C9Y,,2
,category,2C9Z,,2
1376721186,block,,BlockL3-2D0,2
2033444200,category,2D00,,2
1193234571,category,2D00.0,,2
464839824,category,2D00.1,,2
1856595996,category,2D00.2,,2
,category,2D00.Y,,2
,category,2D00.Z,,2
477636850,category,2D01,,2
715606262,category,2D01.0,,2
1035484987,category,2D01.1,,2
,category,2D01.Y,,2
,category,2D01.Z,,2
1758820365,category,2D02,,2
1254844927,category,2D02.0,,2
53770492,category,2D02.1,,2
1855353671,category,2D02.2,,2
,category,2D02.Y,,2
,category,2D02.Z,,2
456911769,category,2D03,,2
1596057495,category,2D03.0,,2
1151208199,category,2D03.1,,2
1713232228,category,2D03.2,,2
,category,2D03.Y,,2
,category,2D03.Z,,2
1872149350,category,2D04,,2
228504985,category,2D05,,2
1493520953,category,2D05.0,,2
,category,2D05.Y,,2
,category,2D05.Z,,2
2121278989,category,2D06,,2
27112793,category,2D06.0,,2
874780782,category,2D06.1,,2
371493863,category,2D06.3,,2
369197946,category,2D06.4,,2
,category,2D06.Y,,2
,category,2D06.Z,,2
982190055,category,2D07,,2
798749948,category,2D07.0,,2
713179243,category,2D07.1,,2
219686553,category,2D07.2,,2
,category,2D07.Y,,2
,category,2D07.Z,,2
,category,2D0Y,,2
,category,2D0Z,,2
1120037543,block,,BlockL3-2D1,2
447433352,category,2D10,,2
367567172,category,2D10.0,,2
929788705,category,2D10.1,,2
1227619262,category,2D10.2,,2
320540024,category,2D10.3,,2
578519098,category,2D10.4,,2
,category,2D10.Y,,2
,category,2D10.Z,,2
1766185236,category,2D11,,2
634124554,category,2D11.0,,2
2110009016,category,2D11.1,,2
591280607,category,2D11.2,,2
,category,2D11.Y,,2
,category,2D11.Z,,2
202249350,category,2D12,,2
426586758,category,2D12.0,,2
728032899,category,2D12.1,,2
,category,2D12.Y,,2
2087283296,category,1F21,,1
1968108845,category,1F22,,1
2055968951,category,1F23,,1
520566646,category,1F23.0,,1
284380638,category,1F23.1,,1
1806329739,category,1F23.10,,1
407172127,category,1F23.11,,1
357498950,category,1F23.12,,1
828693449,category,1F23.13,,1
2120780687,category,1F23.14,,1
92452740,category,1F23.15,,1
1064943355,category,1F23.16,,1
,category,1F23.1Y,,1
,category,1F23.1Z,,1
1229869827,category,1F23.2,,1
2096491408,category,1F23.3,,1
2098149771,category,1F23.30,,1
2051865312,category,1F23.31,,1
,category,1F23.3Y,,1
,category,1F23.3Z,,1
,category,1F23.Y,,1
,category,1F23.Z,,1
1438584733,category,1F24,,1
132287989,category,1F25,,1
1080392099,category,1F25.0,,1
1367598280,category,1F25.00,,1
885533022,category,1F25.01,,1
71079562,category,1F25.1,,1
577599324,category,1F25.10,,1
623817783,category,1F25.11,,1
1455433635,category,1F25.12,,1
,category,1F25.1Y,,1
,category,1F25.Z,,1
1326582778,category,1F26,,1
390527954,category,1F27,,1
1916712542,category,1F27.0,,1
393575368,category,1F27.1,,1
30418378,category,1F27.2,,1
,category,1F27.Y,,1
,category,1F27.Z,,1
1802307036,category,1F28,,1
1380450203,category,1F28.0,,1
1731433055,category,1F28.1,,1
1993674550,category,1F28.2,,1
350028235,category,1F28.3,,1
1449494917,category,1F28.4,,1
2003167397,category,1F28.5,,1
,category,1F28.Y,,1
,category,1F28.Z,,1
1866587875,category,1F29,,1
1303003466,category,1F2A,,1
1553838370,category,1F2A.0,,1
997943937,category,1F2A.1,,1
,category,1F2A.Y,,1
,category,1F2A.Z,,1
566562143,category,1F2B,,1
1676389165,category,1F2C,,1
532698403,category,1F2D,,1
67108853,category,1F2D.0,,1
12958750,category,1F2D.1,,1
303653536,category,1F2D.2,,1
1990974193,category,1F2D.3,,1
1723085409,category,1F2D.4,,1
1414602212,category,1F2D.5,,1
,category,1F2D.Y,,1
268777657,category,1F2E,,1
1220568868,category,1F2E.0,,1
992933048,category,1F2E.1,,1
,category,1F2E.Y,,1
,category,1F2E.Z,,1
547567937,category,1F2F,,1
404370038,category,1F2G,,1
2014927218,category,1F2G.0,,1
,category,1F2G.Z,,1
807637046,category,1F2H,,1
579570784,category,1F2J,,1
768312788,category,1F2J.0,,1
1874192155,category,2B52.1,,2
1572614942,category,2B52.2,,2
1650581103,category,2B52.3,,2
,category,2B52.Y,,2
,category,2B52.Z,,2
1100526834,category,2B53,,2
405689402,category,2B53.0,,2
691471049,category,2B53.1,,2
,category,2B53.Y,,2
,category,2B53.Z,,2
1348470541,category,2B54,,2
361875781,category,2B54.0,,2
986063444,category,2B54.1,,2
,category,2B54.Y,,2
,category,2B54.Z,,2
800945476,category,2B55,,2
120669036,category,2B55.0,,2
1041071513,category,2B55.1,,2
479113214,category,2B55.2,,2
,category,2B55.Y,,2
,category,2B55.Z,,2
423002561,category,2B56,,2
1488198806,category,2B56.0,,2
2111451719,category,2B56.1,,2
2050477809,category,2B56.2,,2
965491615,category,2B56.3,,2
,category,2B56.Y,,2
,category,2B56.Z,,2
2131977134,category,2B57,,2
1617583339,category,2B57.0,,2
394490040,category,2B57.1,,2
536268676,category,2B57.2,,2
,category,2B57.Y,,2
,category,2B57.Z,,2
2055720774,category,2B58,,2
1444610847,category,2B58.0,,2
1872567422,category,2B58.1,,2
399434138,category,2B58.2,,2
,category,2B58.Y,,2
,category,2B58.Z,,2
1991400753,category,2B59,,2
1153141048,category,2B59.0,,2
472732541,category,2B59.1,,2
974906949,category,2B59.2,,2
,category,2B59.Y,,2
,category,2B59.Z,,2
644500343,category,2B5A,,2
430006121,category,2B5A.0,,2
40635646,category,2B5A.1,,2
,category,2B5A.Y,,2
,category,2B5A.Z,,2
819644414,category,2B5B,,2
468657126,category,2B5B.0,,2
319870485,category,2B5B.1,,2
,category,2B5B.Y,,2
,category,2B5B.Z,,2
990494080,category,2B5C,,2
1251935150,category,2B5D,,2
2072916704,category,2B5D.0,,2
1532363988,category,2B5D.1,,2
,category,2B5D.Y,,2
,category,2B5D.Z,,2
979754709,category,2B5E,,2
1729842914,category,2B5F,,2
1319990901,category,2B5F.0,,2
2091164276,category,2B5F.1,,2
415433773,category,2B5F.10,,2
587996426,category,1A60,,1
395565060,category,1A60.0,,1
1926763926,category,1A60.1,,1
1665042685,category,1A60.2,,1
282073961,category,1A60.3,,1
2132718683,category,1A60.4,,1
20350466,category,1A60.5,,1
,category,1A60.Z,,1
1179111584,category,1A61,,1
191565955,category,1A61.0,,1
1847647511,category,1A61.1,,1
445484522,category,1A61.2,,1
2143699068,category,1A61.3,,1
204002280,category,1A61.4,,1
1768103550,category,1A61.5,,1
,category,1A61.Y,,1
,category,1A61.Z,,1
854229089,category,1A62,,1
2118246468,category,1A62.0,,1
453651926,category,1A62.00,,1
1873247529,category,1A62.01,,1
,category,1A62.0Z,,1
183283901,category,1A62.1,,1
1883423833,category,1A62.2,,1
551528014,category,1A62.20,,1
2063826056,category,1A62.21,,1
1934471301,category,1A62.22,,1
,category,1A62.2Y,,1
,category,1A62.2Z,,1
,category,1A62.Y,,1
,category,1A62.Z,,1
370440252,category,1A63,,1
,category,1A6Z,,1
609214049,block,,BlockL2-1A7,1
1977691885,category,1A70,,1
762120574,category,1A70.0,,1
1112016389,category,1A70.00,,1
,category,1A70.0Y,,1
,category,1A70.0Z,,1
1210500328,category,1A70.1,,1
,category,1A70.Y,,1
,category,1A70.Z,,1
1015780375,category,1A71,,1
840155638,category,1A72,,1
707709463,category,1A72.0,,1
359736861,category,1A72.1,,1
1002985340,category,1A72.2,,1
1332021123,category,1A72.3,,1
1505778051,category,1A72.4,,1
,category,1A72.Y,,1
2046292009,category,1A73,,1
